,clusters
0,4
1,4
2,4
3,6
4,4
5,4
6,10
7,6
8,8
9,5
10,7
11,9
12,5
13,4
14,0
15,8
16,4
17,4
18,9
19,7
20,5
21,7
22,4
23,1
24,1
25,12
26,12
27,12
28,12
29,12
30,12
31,12
32,12
33,12
34,12
35,12
36,12
37,12
38,12
39,12
40,12
41,12
42,5
43,5
44,7
45,7
46,7
47,8
48,8
49,4
50,6
51,8
52,3
53,3
54,3
55,3
56,9
57,4
58,7
59,7
60,7
61,5
62,8
63,7
64,11
65,9
66,11
67,11
68,0
69,0
70,9
71,4
72,11
73,11
74,4
75,6
76,4
77,4
78,4
79,4
80,2
81,12
82,12
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,11
91,6
92,7
93,6
94,2
95,7
96,6
97,4
98,7
99,7
100,4
101,10
102,1
103,1
104,1
105,6
106,11
107,11
108,9
109,8
110,6
111,7
112,8
113,8
114,4
115,12
116,4
117,6
118,6
119,4
120,4
121,6
122,3
123,3
124,7
125,10
126,7
127,4
128,7
129,10
130,6
131,4
132,9
133,9
134,12
135,4
136,7
137,4
138,6
139,8
140,8
141,8
142,8
143,8
144,11
145,8
146,10
147,8
148,8
149,8
150,8
151,9
152,8
153,8
154,8
155,8
156,6
157,9
158,6
159,6
160,10
161,7
162,9
163,7
164,4
165,11
166,9
167,2
168,7
169,6
170,10
171,7
172,7
173,12
174,12
175,7
176,4
177,3
178,9
179,6
180,3
181,3
182,3
183,6
184,6
185,6
186,6
187,4
188,12
189,7
190,4
191,9
192,6
193,4
194,11
195,4
196,8
197,4
198,4
199,0
200,8
201,4
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,10
212,4
213,6
214,8
215,8
216,4
217,4
218,9
219,12
220,7
221,9
222,6
223,6
224,6
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,11
233,4
234,9
235,7
236,8
237,10
238,4
239,4
240,4
241,5
242,4
243,4
244,9
245,11
246,4
247,4
248,4
249,7
250,8
251,8
252,4
253,9
254,9
255,7
256,10
257,5
258,5
259,9
260,4
261,5
262,2
263,9
264,4
265,5
266,10
267,4
268,10
269,6
270,9
271,9
272,8
273,8
274,4
275,4
276,9
277,12
278,5
279,5
280,4
281,5
282,5
283,6
284,6
285,6
286,12
287,4
288,1
289,1
290,1
291,5
292,5
293,5
294,9
295,6
296,6
297,7
298,9
299,6
300,4
301,4
302,11
303,4
304,4
305,6
306,8
307,8
308,8
309,8
310,8
311,8
312,8
313,8
314,7
315,10
316,4
317,10
318,10
319,5
320,10
321,10
322,4
323,4
324,9
325,9
326,6
327,4
328,6
329,11
330,4
331,4
332,3
333,3
334,3
335,3
336,3
337,10
338,11
339,9
340,6
341,11
342,6
343,5
344,10
345,4
346,10
347,9
348,8
349,8
350,8
351,4
352,10
353,4
354,4
355,5
356,6
357,8
358,8
359,8
360,9
361,10
362,6
363,4
364,4
365,4
366,4
367,4
368,6
369,4
370,4
371,9
372,6
373,2
374,10
375,6
376,1
377,1
378,1
379,3
380,3
381,3
382,3
383,9
384,12
385,10
386,4
387,6
388,9
389,4
390,8
391,11
392,11
393,6
394,4
395,4
396,4
397,9
398,5
399,10
400,10
401,4
402,10
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,7
411,6
412,6
413,9
414,0
415,10
416,7
417,7
418,7
419,10
420,11
421,11
422,11
423,4
424,4
425,4
426,4
427,11
428,4
429,4
430,4
431,4
432,9
433,8
434,4
435,4
436,5
437,7
438,1
439,1
440,1
441,1
442,1
443,1
444,6
445,4
446,11
447,8
448,8
449,7
450,12
451,12
452,6
453,6
454,6
455,6
456,6
457,6
458,6
459,6
460,4
461,6
462,7
463,10
464,11
465,11
466,11
467,4
468,4
469,4
470,4
471,4
472,4
473,9
474,8
475,4
476,5
477,10
478,10
479,3
480,1
481,4
482,4
483,4
484,3
485,3
486,3
487,3
488,1
489,1
490,1
491,4
492,4
493,3
494,3
495,3
496,3
497,1
498,1
499,1
500,4
501,4
502,5
503,5
504,9
505,6
506,6
507,8
508,8
509,1
510,1
511,1
512,4
513,9
514,4
515,7
516,11
517,11
518,11
519,4
520,4
521,4
522,4
523,4
524,4
525,9
526,8
527,4
528,5
529,4
530,9
531,7
532,9
533,6
534,7
535,4
536,5
537,10
538,4
539,10
540,5
541,12
542,6
543,4
544,4
545,3
546,3
547,3
548,3
549,1
550,1
551,10
552,5
553,4
554,4
555,4
556,3
557,3
558,3
559,3
560,1
561,1
562,6
563,10
564,6
565,8
566,8
567,6
568,12
569,6
570,10
571,4
572,12
573,12
574,12
575,12
576,12
577,12
578,12
579,12
580,12
581,12
582,4
583,11
584,10
585,10
586,12
587,10
588,1
589,1
590,1
591,10
592,10
593,7
594,7
595,11
596,7
597,3
598,3
599,3
600,3
601,3
602,10
603,6
604,11
605,5
606,7
607,12
608,12
609,12
610,12
611,12
612,12
613,12
614,12
615,12
616,12
617,12
618,12
619,12
620,12
621,12
622,7
623,5
624,7
625,4
626,3
627,3
628,6
629,6
630,6
631,11
632,11
633,11
634,7
635,6
636,7
637,7
638,7
639,10
640,12
641,12
642,12
643,12
644,12
645,7
646,7
647,5
648,0
649,0
650,1
651,1
652,1
653,1
654,7
655,7
656,1
657,1
658,1
659,1
660,8
661,8
662,10
663,10
664,7
665,4
666,10
667,3
668,3
669,3
670,3
671,3
672,6
673,11
674,7
675,12
676,12
677,12
678,12
679,12
680,3
681,3
682,3
683,3
684,3
685,9
686,11
687,6
688,4
689,6
690,4
691,4
692,9
693,11
694,6
695,6
696,6
697,6
698,6
699,6
700,4
701,4
702,11
703,12
704,12
705,12
706,12
707,12
708,12
709,12
710,12
711,12
712,5
713,4
714,10
715,4
716,12
717,12
718,12
719,12
720,12
721,12
722,12
723,12
724,12
725,9
726,7
727,6
728,11
729,11
730,6
731,9
732,9
733,7
734,10
735,5
736,10
737,10
738,4
739,4
740,12
741,7
742,11
743,4
744,4
745,4
746,8
747,10
748,10
749,11
750,11
751,0
752,4
753,4
754,7
755,7
756,4
757,0
758,1
759,1
760,1
761,6
762,6
763,4
764,7
765,6
766,7
767,10
768,11
769,4
770,11
771,7
772,8
773,10
774,6
775,6
776,10
777,10
778,8
779,4
780,6
781,3
782,6
783,6
784,6
785,4
786,4
787,6
788,6
789,6
790,6
791,6
792,6
793,11
794,7
795,7
796,7
797,6
798,4
799,6
800,10
801,4
802,6
803,6
804,10
805,7
806,7
807,8
808,4
809,6
810,9
811,4
812,10
813,4
814,4
815,9
816,1
817,1
818,1
819,4
820,4
821,9
822,9
823,12
824,4
825,7
826,6
827,1
828,1
829,1
830,12
831,12
832,12
833,12
834,12
835,12
836,12
837,12
838,12
839,12
840,12
841,7
842,6
843,4
844,10
845,4
846,6
847,10
848,10
849,5
850,5
851,4
852,9
853,8
854,12
855,9
856,4
857,7
858,11
859,10
860,4
861,7
862,7
863,7
864,4
865,4
866,4
867,4
868,5
869,5
870,7
871,6
872,6
873,4
874,12
875,7
876,4
877,0
878,10
879,9
880,5
881,8
882,6
883,6
884,6
885,6
886,4
887,10
888,4
889,4
890,10
891,10
892,7
893,7
894,12
895,10
896,10
897,10
898,10
899,10
900,10
901,10
902,10
903,10
904,10
905,7
906,3
907,3
908,3
909,4
910,4
911,6
912,6
913,6
914,6
915,6
916,6
917,4
918,11
919,4
920,6
921,4
922,4
923,4
924,0
925,11
926,8
927,7
928,2
929,6
930,4
931,7
932,10
933,3
934,3
935,3
936,3
937,3
938,1
939,10
940,8
941,4
942,4
943,4
944,4
945,8
946,6
947,6
948,6
949,6
950,6
951,3
952,4
953,4
954,4
955,4
956,6
957,11
958,11
959,2
960,2
961,4
962,9
963,9
964,9
965,12
966,9
967,10
968,4
969,3
970,3
971,3
972,3
973,3
974,4
975,4
976,4
977,4
978,4
979,4
980,3
981,3
982,3
983,8
984,12
985,7
986,10
987,6
988,6
989,6
990,10
991,10
992,6
993,7
994,10
995,9
996,9
997,10
998,9
999,7
1000,7
1001,11
1002,11
1003,6
1004,5
1005,0
1006,9
1007,10
1008,7
1009,10
1010,10
1011,7
1012,9
1013,4
1014,9
1015,8
1016,8
1017,8
1018,5
1019,7
1020,10
1021,10
1022,6
1023,11
1024,4
1025,4
1026,4
1027,4
1028,7
1029,12
1030,3
1031,3
1032,3
1033,4
1034,4
1035,11
1036,2
1037,4
1038,8
1039,8
1040,12
1041,6
1042,0
1043,2
1044,7
1045,2
1046,2
1047,2
1048,9
1049,4
1050,9
1051,12
1052,4
1053,9
1054,2
1055,10
1056,7
1057,10
1058,7
1059,8
1060,4
1061,4
1062,6
1063,6
1064,6
1065,6
1066,11
1067,10
1068,10
1069,4
1070,4
1071,6
1072,4
1073,4
1074,4
1075,4
1076,4
1077,8
1078,6
1079,3
1080,3
1081,3
1082,3
1083,3
1084,10
1085,6
1086,8
1087,5
1088,9
1089,6
1090,7
1091,2
1092,4
1093,4
1094,10
1095,4
1096,4
1097,4
1098,7
1099,9
1100,9
1101,9
1102,4
1103,5
1104,8
1105,4
1106,4
1107,4
1108,7
1109,4
1110,11
1111,6
1112,6
1113,0
1114,7
1115,7
1116,7
1117,4
1118,4
1119,5
1120,2
1121,4
1122,7
1123,7
1124,8
1125,5
1126,4
1127,7
1128,5
1129,8
1130,2
1131,10
1132,9
1133,2
1134,9
1135,2
1136,2
1137,12
1138,2
1139,2
1140,10
1141,7
1142,11
1143,2
1144,11
1145,10
1146,10
1147,7
1148,0
1149,5
1150,6
1151,10
1152,4
1153,6
1154,9
1155,5
1156,10
1157,8
1158,4
1159,6
1160,9
1161,5
1162,4
1163,9
1164,10
1165,9
1166,4
1167,9
1168,7
1169,7
1170,11
1171,4
1172,5
1173,11
1174,10
1175,5
1176,6
1177,12
1178,6
1179,4
1180,7
1181,6
1182,4
1183,10
1184,11
1185,4
1186,9
1187,12
1188,11
1189,7
1190,2
1191,4
1192,9
1193,8
1194,6
1195,12
1196,9
1197,7
1198,6
1199,4
1200,8
1201,4
1202,4
1203,7
1204,4
1205,9
1206,2
1207,6
1208,6
1209,9
1210,10
1211,9
1212,9
1213,6
1214,7
1215,7
1216,2
1217,6
1218,4
1219,9
1220,2
1221,10
1222,6
1223,5
1224,6
1225,5
1226,12
1227,6
